127.0.0.1 - - [03/May/2022:07:33:41 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [03/May/2022:07:34:06 -0300] "GET /gerenciador/formNovaEmpresa.html HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [03/May/2022:07:34:30 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [03/May/2022:07:39:43 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 402
0:0:0:0:0:0:0:1 - - [03/May/2022:07:40:09 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [03/May/2022:07:42:58 -0300] "GET /gerenciador//novaEmpresaCriada.jsp HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [03/May/2022:07:52:36 -0300] "GET /gerenciador//novaEmpresaCriada.jsp HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [03/May/2022:07:53:02 -0300] "GET /gerenciador//novaEmpresaCriada.jsp HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [03/May/2022:07:54:46 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 402
0:0:0:0:0:0:0:1 - - [03/May/2022:07:54:50 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [03/May/2022:07:54:57 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [03/May/2022:07:55:08 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 96
